osmid,y,x,street_count,highway,ref,geometry
104185884,40.4187273,-79.9983693,3,,,POINT (-79.99836929999999 40.4187273)
104185891,40.4187387,-79.9977799,3,,,POINT (-79.9977799 40.4187387)
104185902,40.4182435,-80.0039621,3,,,POINT (-80.0039621 40.4182435)
104185906,40.4186305,-80.0023558,4,,,POINT (-80.0023558 40.4186305)
104185917,40.394479,-79.9739474,3,,,POINT (-79.9739474 40.394479)
104185921,40.3956168,-79.9738535,4,,,POINT (-79.9738535 40.3956168)
104185927,40.3964363,-79.9737743,3,,,POINT (-79.9737743 40.3964363)
104186320,40.4011228,-79.9178123,3,,,POINT (-79.91781229999999 40.4011228)
104186323,40.399655,-79.9152986,3,,,POINT (-79.9152986 40.399655)
104186332,40.399304,-79.9147433,3,,,POINT (-79.9147433 40.399304)
104186744,40.4634975,-79.9306816,5,traffic_signals,,POINT (-79.9306816 40.4634975)
104186753,40.4644891,-79.9300616,4,,,POINT (-79.9300616 40.4644891)
104186765,40.4656068,-79.9293942,3,traffic_signals,,POINT (-79.9293942 40.4656068)
104186773,40.466623,-79.9287844,3,,,POINT (-79.9287844 40.466623)
104186779,40.4670213,-79.9285441,3,,,POINT (-79.9285441 40.4670213)
104186789,40.4677575,-79.9281003,4,,,POINT (-79.9281003 40.4677575)
104186797,40.4681403,-79.927875,3,,,POINT (-79.927875 40.4681403)
104186802,40.4687603,-79.9274988,3,traffic_signals,,POINT (-79.9274988 40.4687603)
104186809,40.4697703,-79.9270334,4,,,POINT (-79.9270334 40.4697703)
104186816,40.4706714,-79.926673,3,,,POINT (-79.92667299999999 40.4706714)
104186822,40.4715455,-79.9262872,4,traffic_signals,,POINT (-79.9262872 40.4715455)
104186829,40.4724662,-79.9258409,3,,,POINT (-79.9258409 40.4724662)
104186833,40.4728187,-79.9256693,3,,,POINT (-79.9256693 40.4728187)
104186843,40.4732562,-79.925489,3,,,POINT (-79.925489 40.4732562)
104186854,40.4740266,-79.9251629,3,,,POINT (-79.9251629 40.4740266)
104186862,40.4742134,-79.9250806,3,,,POINT (-79.9250806 40.4742134)
104186871,40.4754367,-79.9245416,4,,,POINT (-79.9245416 40.4754367)
104186881,40.4763388,-79.9241238,3,,,POINT (-79.9241238 40.4763388)
104186887,40.4772422,-79.9237486,4,,,POINT (-79.9237486 40.4772422)
104186898,40.4779757,-79.92329,4,,,POINT (-79.92328999999999 40.4779757)
104186908,40.4787153,-79.9228433,3,,,POINT (-79.9228433 40.4787153)
104186918,40.4794189,-79.9224138,3,,,POINT (-79.9224138 40.4794189)
104187095,40.4949042,-79.9565206,3,,,POINT (-79.9565206 40.4949042)
104187103,40.4948712,-79.9580989,3,,,POINT (-79.9580989 40.4948712)
104187110,40.4948425,-79.9587435,3,,,POINT (-79.9587435 40.4948425)
104187120,40.4949462,-79.9610199,3,,,POINT (-79.9610199 40.4949462)
104187125,40.4949185,-79.9620915,1,,,POINT (-79.9620915 40.4949185)
104187293,40.4817138,-80.0269733,4,,,POINT (-80.02697329999999 40.4817138)
104187301,40.4816061,-80.0278936,3,,,POINT (-80.0278936 40.4816061)
104187319,40.4814353,-80.0295061,3,,,POINT (-80.02950610000001 40.4814353)
104187495,40.4598876,-80.0285058,1,,,POINT (-80.0285058 40.4598876)
104187503,40.4596963,-80.0295215,4,,,POINT (-80.0295215 40.4596963)
104187508,40.4595786,-80.0301468,3,,,POINT (-80.0301468 40.4595786)
104187715,40.4489573,-79.9615662,3,,,POINT (-79.96156619999999 40.4489573)
104187751,40.4495226,-79.9629823,3,,,POINT (-79.96298229999999 40.4495226)
104187842,40.4504386,-79.9638523,3,,,POINT (-79.9638523 40.4504386)
104188110,40.4719283,-79.9038901,3,,,POINT (-79.9038901 40.4719283)
104188131,40.4722201,-79.9038134,1,,,POINT (-79.9038134 40.4722201)
104189148,40.4671685,-79.9976472,1,,,POINT (-79.9976472 40.4671685)
104191147,40.394473,-79.996284,3,,,POINT (-79.996284 40.394473)
104191311,40.4539394,-79.9978399,4,,,POINT (-79.9978399 40.4539394)
104191391,40.3916597,-80.0131257,3,,,POINT (-80.0131257 40.3916597)
104191407,40.392278,-80.0108619,3,,,POINT (-80.01086189999999 40.392278)
104191585,40.4661892,-79.9519367,3,,,POINT (-79.9519367 40.4661892)
104191613,40.4671355,-79.9515093,3,,,POINT (-79.9515093 40.4671355)
104191960,40.452945,-79.944337,3,,,POINT (-79.944337 40.452945)
104191966,40.4524748,-79.9441053,1,,,POINT (-79.9441053 40.4524748)
104192007,40.4557156,-79.9624878,3,,,POINT (-79.96248780000001 40.4557156)
104192015,40.4549185,-79.9619207,4,,,POINT (-79.96192069999999 40.4549185)
104192054,40.4576198,-79.9625842,3,,,POINT (-79.96258419999999 40.4576198)
104192064,40.4567039,-79.9636205,4,crossing,,POINT (-79.9636205 40.4567039)
104192081,40.4562654,-79.9632063,4,,,POINT (-79.9632063 40.4562654)
104192763,40.4238092,-79.9689047,3,,,POINT (-79.9689047 40.4238092)
104192770,40.4236376,-79.9699578,3,,,POINT (-79.9699578 40.4236376)
104193457,40.4729724,-80.0313225,3,,,POINT (-80.0313225 40.4729724)
104193482,40.4722568,-80.0316874,3,,,POINT (-80.0316874 40.4722568)
104193498,40.4727595,-80.0312552,3,,,POINT (-80.0312552 40.4727595)
104193976,40.4903576,-80.0017544,3,,,POINT (-80.0017544 40.4903576)
104194082,40.4335031,-79.8913295,3,,,POINT (-79.8913295 40.4335031)
104194090,40.4329464,-79.8909207,4,,,POINT (-79.8909207 40.4329464)
104194105,40.4324369,-79.8905592,1,,,POINT (-79.8905592 40.4324369)
104194115,40.4318234,-79.8913734,1,,,POINT (-79.89137340000001 40.4318234)
104194122,40.43239,-79.8917991,4,,,POINT (-79.8917991 40.43239)
104194129,40.4330975,-79.8923155,3,,,POINT (-79.8923155 40.4330975)
104194342,40.4143628,-79.9295456,3,,,POINT (-79.9295456 40.4143628)
104194402,40.4169236,-79.9324804,3,,,POINT (-79.9324804 40.4169236)
104194450,40.4184435,-79.932882,3,,,POINT (-79.93288200000001 40.4184435)
104195667,40.4440628,-79.8915635,3,,,POINT (-79.8915635 40.4440628)
104195673,40.4436488,-79.8917162,3,,,POINT (-79.8917162 40.4436488)
104195684,40.4432033,-79.89185,4,,,POINT (-79.89185000000001 40.4432033)
104195687,40.4426809,-79.8918225,3,,,POINT (-79.8918225 40.4426809)
104195844,40.394587,-79.9160868,3,,,POINT (-79.9160868 40.394587)
